t,px,py,pz,vx,vy,vz
0.0,8.48822304355375e-18,1.8762229198158724e-18,-6.837758170005065e-17,1.0347181465169698e-19,9.98457406532842e-19,2.793498040984658e-18
1.426462097778533e-06,4.81214732512657e-06,-2.8020299006569585e-07,6.629568095071825e-05,0.005984093791812247,-0.0033819328113488356,0.006418824108033836
2.500263945191791e-06,7.378117899237999e-06,-4.2939140568552957e-07,0.00010066654761400208,0.00933296393112474,-0.005282727973106056,0.009511471629024777
3.5735690302250673e-06,9.42029790324414e-06,-5.471891184626775e-07,0.00012757139357894368,0.011731498635924367,-0.00664929788114437,0.011494533656391876
4.646985408205066e-06,1.1118080718532013e-05,-6.443009010696673e-07,0.00014967108164662667,0.013410602246291476,-0.007609975691250259,0.01272084306649768
5.720466660305004e-06,1.2576624868130496e-05,-7.271664282106187e-07,0.00016849473851303674,0.014560463760597001,-0.008271076388393481,0.013438141551145368
6.794033108520812e-06,1.3861685754182265e-05,-7.998576008318121e-07,0.0001849813204613371,0.015323400810699937,-0.008712463831675784,0.013813691211589285
7.867648520989253e-06,1.5016181396407333e-05,-8.650270453862825e-07,0.00019973400535586215,0.01580344352675546,-0.008992712137676431,0.013959647455619643
8.941320653440482e-06,1.6069353912254695e-05,-9.244593867553184e-07,0.0002131576429518879,0.0160764728374867,-0.009154680028506588,0.013951553257156406
1.0015082647604345e-05,1.7041823097132934e-05,-9.793907315835727e-07,0.0002255340897980602,0.016197963517962006,-0.00922979292389663,0.013840623993575439
1.1088917564027391e-05,1.794852469150379e-05,-1.030694037676942e-06,0.0002370649483278148,0.016208645134373013,-0.009241187559289488,0.01366183870311437
1.2162816854364917e-05,1.8800620419441963e-05,-1.0790069804289562e-06,0.0002478992330295051,0.016138576807108788,-0.009205984989214613,0.013439243715975843
1.3236789057187572e-05,1.9606650585908183e-05,-1.1248118846496196e-06,0.0002581498087044374,0.016010038281153004,-0.009136907872301194,0.013189449551775673
1.43108152958208e-05,2.0373260877211953e-05,-1.1684646750077603e-06,0.00026790337428323364,0.015839612448683142,-0.009043449363323323,0.012923975777617955
1.538492172210318e-05,2.110574875505362e-05,-1.2102576490418374e-06,0.000277228742729629,0.015639674435902005,-0.008932711537746177,0.012650805892123855
1.6459101700975718e-05,2.1808377322653935e-05,-1.250419475841572e-06,0.0002861806552097521,0.01541949086437274,-0.008810025608052904,0.012375474950939373
1.753336686080431e-05,2.248464163054713e-05,-1.2891318777402714e-06,0.00029480371778990645,0.015186005645490162,-0.00867939685001164,0.012101790180881178
1.8607709252387943e-05,2.3137436716254182e-05,-1.3265486940615134e-06,0.00030313452436446655,0.014944430992372538,-0.008543839712585903,0.011832348085170882
1.9682128035384384e-05,2.3769153960491605e-05,-1.3627974956122689e-06,0.00031120371721640575,0.014698672178265275,-0.008405619333145048,0.011568881514345281
2.075662238797146e-05,2.438185635424045e-05,-1.3979870377002734e-06,0.00031903703461034014,0.014451649037210128,-0.008266434808519048,0.01131251079169243
2.183118956729387e-05,2.4977292362887573e-05,-1.4322053205244987e-06,0.000326656342962432,0.014205535139662108,-0.008127555623356781,0.011063920503944483
2.290583034037245e-05,2.5556950375037193e-05,-1.4655383256700621e-06,0.0003340802695337079,0.013961935833322356,-0.007989923518037009,0.01082348407038653
